Block: 104
Row Block TimeStamp TraceOriginalId DocumentHash ContentHash Type DocumentVersion OwnerKey VersionKey OwnerSignature OwnerSignedData VersionSignature LedgerSignature LedgerSeal
119769 104 2020-07-29T11:30:53.341Z e87c3a0b029c64fc615a034e4f9b1a9c3bddc6efd76fc3682fefd51aad840cf5 e87c3a0b029c64fc615a034e4f9b1a9c3bddc6efd76fc3682fefd51aad840cf5 38681491a740cdb519c350815e0eec915a588a2a4ecc0acbd844bd7d0a06e38f CRE 1 02e0db609369287e25b662a13a68bfb0373d0f0f0b3ec3781556fd13e4aab37a52 02e2a214277e1bcab5ca48290b64e5389c4883c4dd570a8bed9615efcb557538b2 qTj90JakCScaexbMrkFsTnM4eXlcT2M2P6TqblylltyyH/G47U3UCDlIriXHOigMdhEuhgemaOtNCQEXd1RAyQ== e87c3a0b029c64fc615a034e4f9b1a9c3bddc6efd76fc3682fefd51aad840cf5 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 gcIWQ66LBh2Q2VZynCCjc4woTJBpwkei6BzSzozgzP7MhAidUbdoTACQHrw/lmr6bEDWYHqAD+FdPJRFphJOIA== I+mJp0i4Q0h56e+dYMjWtW50teP4ZtLN4gVW9OjvszgQr+PP/28BLbsXZbD/YyOSnvUJdjTeetsbxIdI6IPJ3A==
119770 104 2020-07-29T11:30:55.640Z 83f9939ced6c16b0780d274fe135f077a7eefd233352bbdbc3127015c01b735e 83f9939ced6c16b0780d274fe135f077a7eefd233352bbdbc3127015c01b735e 38681491a740cdb519c350815e0eec915a588a2a4ecc0acbd844bd7d0a06e38f CRE 1 0378ee6cd73c17aaecdced41f699187b9b00999136d7c1a62f09572f61ae017c0b 03956245cac987940caba0044fbad7089631fd3cb3f8e4cc7f20b33ce8bf043486 tYwnnyncijyuYj0xPgsCx5HbzPJIbS9PuAbHDkK+Fm5YKfSPzjab4V1l9cpBZ4jPpV4hGi+byIRu75U/LcuZtQ== 83f9939ced6c16b0780d274fe135f077a7eefd233352bbdbc3127015c01b735e 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 LmSVNfI9pkfJ/sMKNXMOhpU10vk/nB2i/2TE/2V+Jv1NNNELCS+ERrDsCFWNGtQTHS4cpJQotZ9ClV5yMj5yog== xVgf/hxj8XtXyNbZHOCtXYQqm+I6b0YUcd+vwZi1CK3BQTBKEFoqywHW/cQsILGuYIa8nfd8AXZSZL7TGYl6ng==
119771 104 2020-07-29T11:30:55.655Z a9bb69b8ed6cdfdffdf42dadb43111155a27e15c7415297e48f0497cce850b8d a9bb69b8ed6cdfdffdf42dadb43111155a27e15c7415297e48f0497cce850b8d 38681491a740cdb519c350815e0eec915a588a2a4ecc0acbd844bd7d0a06e38f CRE 1 02f999baede3075ecabc8e3692293ad4eda0a1f30a2f4702b2e06573e2d0cbbb6c 02b2e8158cb1145e52d86dafd65192a66e0c2ddb82e3f83585c6216b5018ab81c6 BA+A0Z2cqWFxktOFinxNUSkKbEDGaC60DoZSs5c5O58vjwUyPUnP3YRkHNdcHlMicVjnjtrDa0lcalu+toXHzw== a9bb69b8ed6cdfdffdf42dadb43111155a27e15c7415297e48f0497cce850b8d 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 Te5Z9ZayOy9Gp6Jk20+t8dwkFryHreAKRL92Jl9FKnu+KyZqy6jXGh8JdJSDTJUB40kGiBUzyFmaxCe67CYCcQ== J1gb1p3gn6Xn3KakR52sYzM73ndXUaj1mCnFvLkivInJR9WkYjwtKXFyOIPVR6CqMdJPuPhPMvXnLeARj6YUEw==
119772 104 2020-07-29T11:30:55.671Z 0d068e7aac3bdedde1a88b359edd71a06471a8252844c8e31d7163045fafcd98 0d068e7aac3bdedde1a88b359edd71a06471a8252844c8e31d7163045fafcd98 38681491a740cdb519c350815e0eec915a588a2a4ecc0acbd844bd7d0a06e38f CRE 1 02f9d195173f113079462519b0a4fb09de53410128a77af50e10943b600af0054b 038fc7a0237ce6ea0b089af9ef9dd2b84fff3fe93038aadf3f51d2939039a11841 kxJrXsB4t3BKnSFOUpYUt/mucEG2PlgUGHFKuv2rBsZ9She96/8UoecLfm1mAmdOY+LEW9CpQEqdlT99zdmpLA== 0d068e7aac3bdedde1a88b359edd71a06471a8252844c8e31d7163045fafcd98 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 B9AMVhcjO0ppL2a1xOzgCEZRpDMhMtYweVH6g+VK6DyinhiKmOMubLcpFGXJgfYsJiClSGCW6g/JYpts/LMksA== GYjKx+khS1SQ+pAQ91ckekXg5xuIB8ft1IXRuBz0k9sTpUEB/I+iKhqXYMw+cToUY282HVav/zgnA5mn8S5+8g==
119773 104 2020-07-29T11:30:55.703Z a9bb69b8ed6cdfdffdf42dadb43111155a27e15c7415297e48f0497cce850b8d 6c06e2d98a8d1f329e750b1bf0a6e7beaf91d9ea0a1e12815dedb53d69aa5d74 38681491a740cdb519c350815e0eec915a588a2a4ecc0acbd844bd7d0a06e38f AME 2 02f999baede3075ecabc8e3692293ad4eda0a1f30a2f4702b2e06573e2d0cbbb6c 03b4931fc86523c4de0208f4bfa654b3ed97e2c9487f8e24f02651a3c6a95e7791 inyU7gG36MYXJcrSApw234ki6rn1lQ3I5OTIqAxV0ehUkG5XRcmMllxph+GWnlwg+gNfWMIiAzolE4nZHDgO6Q== 6c06e2d98a8d1f329e750b1bf0a6e7beaf91d9ea0a1e12815dedb53d69aa5d74 659cBiIyZM/O/z3lcgI6qiRGw46PNk2iMF9NPw2/egjUmz1scRH2DdH7v2Z+vSOXbhD4RvQzr52Z/AK4dk2Nsw== 2exczyIT+FKXKIOpy0v6NPtMmjC76orq14tEC3C9O41g0m5xiXmEDnDDnuZKD3I+jrIbsVcO/Or8zHkiCklZ7w== FYk775YtCYmuM54uOfwcoVR+P0dNfdta/hcqvdwQBHanCIE+41VXokNuwndzT1jQBF0th+ubGvfFPCOW/Rt2Tg==
119774 104 2020-07-29T11:30:55.728Z 83f9939ced6c16b0780d274fe135f077a7eefd233352bbdbc3127015c01b735e a1ff373f84a40448028d115a212d00681f1dfc9ed4819167b69eec97d40a14bc 38681491a740cdb519c350815e0eec915a588a2a4ecc0acbd844bd7d0a06e38f AME 2 0378ee6cd73c17aaecdced41f699187b9b00999136d7c1a62f09572f61ae017c0b 02c3a1b070c740977eafc5179a4276cdc504ade1986e16766463e54d0e43e6b094 rjkrLDzy294KAA1L31k5d/ibAli4APRaky5IPmE7IdSPwYdBi7yv1Ncr9htb7tkwo+KhEqA1qB/Hm0d+faGvmg== a1ff373f84a40448028d115a212d00681f1dfc9ed4819167b69eec97d40a14bc 6MEIrxITDLyoLEfXqwB9A8r6/OGYrpVZFdNBHwL6+aPD5FWqv/7Yk7rFN2MxfAffmPfrDXGk7I1fXHraFb5/8w== e/9QTMp/wlMDRropVx+VjvLYV6cXtiokTueAKKcTlgwjMhQVlG1kxVLbDEhRZoVs8bhUktHHFPDUywvTpMVReA== lyN54Qaq9xMS30MPXVJUS0VxN7Lst6ETVTb0TJXkN6EYjvP/hQ12i/dAP9FX3ebXOBjtfGAmHXEGqXk7GDLmfw==
119775 104 2020-07-29T11:30:55.752Z e87c3a0b029c64fc615a034e4f9b1a9c3bddc6efd76fc3682fefd51aad840cf5 0c6a77954c852fa76a24434a3734bea91dd42dde328c86b2b45ee1192f3d390e 38681491a740cdb519c350815e0eec915a588a2a4ecc0acbd844bd7d0a06e38f AME 2 02e0db609369287e25b662a13a68bfb0373d0f0f0b3ec3781556fd13e4aab37a52 02553e45b6b2d3dc957c57630fad372c2d190869ed64ee2a0184c09a8c13aac98f diImMFt0+EU5cCeQ73ZCAAAqhTmt3tWW58iqnMTsjyUabhj9oXWuHbAQzlK/+CBvK2bVI77XWh40ObGC8GVtzQ== 0c6a77954c852fa76a24434a3734bea91dd42dde328c86b2b45ee1192f3d390e IXrUl9T82LFQaHHOf4uf+iSSHleGlnnr6K8vtMRWzNz59xm7bT/pODTB1IqQXqZ9y5l5LUkVytydNAaahAcWFA== av8R6dmlmYfrsVDIAk4RO6udWn1mDrqk6B+LtolN3WgRdLnjEu5nJJyFcczNJW7FaqpRZ/xYDTiwdLfI0oFTRQ== +GOHPcf1nZDSkox9QAZAk0pjwqT94X4ISUgpu2XfzxrJ11DpD5BMHSt5h2vi4pLlPw1jwS91o3peE6DJ4Bqp9A==
119776 104 2020-07-29T11:30:55.770Z 03faee6dbb22ffd57c89dab7e5572dad2f0196aa0b49fbac0796670e8279b0fa 03faee6dbb22ffd57c89dab7e5572dad2f0196aa0b49fbac0796670e8279b0fa 38681491a740cdb519c350815e0eec915a588a2a4ecc0acbd844bd7d0a06e38f CRE 1 02ab716c6f114e539ede712d199ecd3107a580d2dffc0f65cd6a6f195c397d1a17 03be4be03c57863c81766d34b899ea9f06d18b181d5e4a8fe33e9bd9ece86783af dh3TvWo0/yp2aMjse1g1WJWx1QiZ+xYMf3uCsThuGpM+KAbI5KfDgayXfjgwAPOaiGjImAhrftUkl7xTeM5Jfg== 03faee6dbb22ffd57c89dab7e5572dad2f0196aa0b49fbac0796670e8279b0fa 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 x8Zy3YbG37N8d/kSSn80yKWtlnzOgocu/KKAlHBE1D8rm0hZ4SeWMVBzV7HIisMSTfWl9iWDIoiRddzM+HIfjA== 43mCfJ5ZYCBuDwYSe6acdniWy2e6/CTbGXxar9v8H974Ll9B/D7v/2J5auehSjrO04J3+NN0rdF0GoueARhH3A==
119777 104 2020-07-29T11:30:55.783Z 919d356b00854d3f8615419c25f042066dd1c954330b8f4e421349c23a5b5c6f 919d356b00854d3f8615419c25f042066dd1c954330b8f4e421349c23a5b5c6f 38681491a740cdb519c350815e0eec915a588a2a4ecc0acbd844bd7d0a06e38f CRE 1 027443f63da4e85638c48080d05d9112a4bf94b19053f4875d2563956411403f4e 031d2ffc26cc39cf335b5175bc6e5db59fc4560a091fe20e5a211a913aec5bc611 1IwMSadc7Ab/fO77RDQAHSvtl4iyi3qK68ZZYKBiSAYZC6nDPidwWrFBW8ZIzghtMh4NqGmx1bpTiAswE0HtVw== 919d356b00854d3f8615419c25f042066dd1c954330b8f4e421349c23a5b5c6f 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 V8L4sEvtwq+6dzZ4Uqb09fc9IKf2CJxxxpPWg6ToXn14wWY+MO7XZD2rKo45GMYiO6dk+zKeLvSBKvKTp2Ha/g== DS3AlTof4yqe34elS3q2SaJpco5WKd4s7y4k7UK5X1vAZjoaIL3/Bmu7ppit3Gh2KsRGgDJjqRzKswLA5wVtqw==
119778 104 2020-07-29T11:30:55.800Z 0d068e7aac3bdedde1a88b359edd71a06471a8252844c8e31d7163045fafcd98 a10a5f6f43fc66863689f8997d2594c3c88a5e52945d5df36a3a9a02e774de0b 38681491a740cdb519c350815e0eec915a588a2a4ecc0acbd844bd7d0a06e38f AME 2 02f9d195173f113079462519b0a4fb09de53410128a77af50e10943b600af0054b 0230c513770b728292715e1d33d29467786f0e3cfa87135e93aefa4faa14c64d2b Oi4guawrlLKyFV9me1e/Rj2JUxd0sPpwyixRabc0FA6sw8ckyhr4Y/U46W/2aMnhstj9iR3ILGxbBwPctlT2Og== a10a5f6f43fc66863689f8997d2594c3c88a5e52945d5df36a3a9a02e774de0b EGEWBi7BvoBZlq0SWyCJPF3mliDSfuCE//i2dkIBT/3Dp+DoreK8apzsXC7jtoXMQ2iBnSbYIGqBPNS+mIVJtQ== 9Pq7lyIrWF40Bo11AzvVMss0DYX48oBqUe6ydgPXI5CfRqVwhYtm8DI5b59Gos+cR65oERdMA1TYoA9LJNNH+g== FX0iKs5a47MK1bLzhSsI4AKxoBshOFfmRNRzcXT5EK/FVD7wVcuNEtAEYTbKaZ7XT8sUSbLs6854Xls9avXvoQ==
